Nom Nonograma;% Caselles Pintades;Ratio F/C;Total Pistes;Mitjana Mida Pistes;Desviacio Est. Mida Pistes;Promig Pistes/Fila;Promig Pistes/Columna;Promig Llibertat Total;Relatiu Llibertat Total
RNDNNGR_15x57_01;17.54;0.26;256;0.59;0.46;8.33;2.30;33.47;0.90
RNDNNGR_15x77_01;46.93;0.19;588;0.92;1.19;19.27;3.88;34.99;0.75
RNDNNGR_15x80_01;15.17;0.19;313;0.58;0.53;10.47;1.95;44.75;0.89
RNDNNGR_16x13_01;19.71;1.23;70;0.59;0.45;2.12;2.77;13.09;0.90
RNDNNGR_16x32_01;26.76;0.50;200;0.69;0.67;6.06;3.22;21.22;0.88
RNDNNGR_16x44_01;34.94;0.36;324;0.76;0.88;9.81;3.80;25.32;0.84
RNDNNGR_16x47_01;11.44;0.34;165;0.52;0.35;4.75;1.89;29.03;0.88
RNDNNGR_16x77_01;13.56;0.21;300;0.56;0.47;8.94;2.04;43.96;0.90
RNDNNGR_17x23_01;26.34;0.74;168;0.61;0.54;4.82;3.74;18.01;0.90
RNDNNGR_17x29_01;14.60;0.59;125;0.58;0.42;3.71;2.14;20.98;0.90
RNDNNGR_17x42_01;38.52;0.40;334;0.82;1.13;9.94;3.93;24.07;0.81
RNDNNGR_17x64_01;11.49;0.27;227;0.55;0.45;6.35;1.86;37.62;0.87
RNDNNGR_17x71_01;29.25;0.24;505;0.70;0.74;14.82;3.56;39.33;0.88
RNDNNGR_17x77_01;29.72;0.22;558;0.70;0.73;16.18;3.68;41.85;0.87
RNDNNGR_18x34_01;41.34;0.53;318;0.80;0.98;8.67;4.76;20.97;0.80
RNDNNGR_18x35_01;17.30;0.51;185;0.59;0.53;5.00;2.71;24.52;0.92
RNDNNGR_18x48_01;14.93;0.38;234;0.55;0.43;6.00;2.62;30.26;0.89
RNDNNGR_18x66_01;13.55;0.27;281;0.57;0.47;7.72;2.15;39.43;0.90
RNDNNGR_18x67_01;26.20;0.27;473;0.67;0.66;13.56;3.42;38.85;0.90
RNDNNGR_19x29_01;36.12;0.66;272;0.73;0.82;6.95;4.83;20.22;0.84
RNDNNGR_19x37_01;11.24;0.51;150;0.53;0.38;3.79;2.11;25.52;0.89
RNDNNGR_19x42_01;37.34;0.45;388;0.77;0.84;10.00;4.71;25.47;0.83
RNDNNGR_19x54_01;44.15;0.35;512;0.88;1.19;12.89;4.94;28.30;0.77
RNDNNGR_19x72_01;38.23;0.26;648;0.81;0.97;16.89;4.54;37.82;0.82
RNDNNGR_20x15_01;38.67;1.33;145;0.80;1.14;3.95;4.40;13.91;0.80
RNDNNGR_20x20_01;13.25;1.00;102;0.52;0.31;2.55;2.55;17.40;0.87
RNDNNGR_20x36_01;49.17;0.56;365;0.97;1.39;9.20;5.03;20.35;0.72
RNDNNGR_20x56_01;39.11;0.36;545;0.80;0.96;14.00;4.73;31.51;0.82
RNDNNGR_20x71_01;10.70;0.28;273;0.56;0.40;6.60;1.99;43.22;0.92
RNDNNGR_20x79_01;17.72;0.25;471;0.59;0.45;11.70;3.00;46.95;0.93
RNDNNGR_21x27_01;15.52;0.78;147;0.60;0.53;3.52;2.70;21.75;0.91
RNDNNGR_21x32_01;14.14;0.66;170;0.56;0.37;3.90;2.75;24.75;0.93
